episode,reward
0,-100
1,-144
2,-121
3,-109
4,-128
5,-122
6,-108
7,-136
8,-171
9,-105
10,-684
11,-136
12,-126
13,-153
14,-150
15,-238
16,-281
17,-190
18,-51
19,-129
20,-113
21,-183
22,-86
23,-193
24,-125
25,-100
26,-137
27,-105
28,-72
29,-128
30,-113
31,-106
32,-132
33,-43
34,-90
35,-52
36,-120
37,-114
38,-137
39,-73
40,-79
41,-394
42,-152
43,-127
44,-181
45,-261
46,-198
47,-265
48,-237
49,-67
50,-107
51,-121
52,-138
53,-92
54,-129
55,-118
56,-97
57,-219
58,-237
59,-110
60,-212
61,-118
62,-152
63,-202
64,-334
65,-96
66,-143
67,-129
68,-114
69,-119
70,-104
71,-103
72,-251
73,-185
74,-119
75,-156
76,-105
77,-132
78,-71
79,-173
80,-83
81,-69
82,-117
83,-118
84,-120
85,-91
86,-86
87,-127
88,-81
89,-156
90,-131
91,-111
92,-72
93,-116
94,-249
95,-114
96,-107
97,-80
98,-75
99,-82
100,-144
101,-205
102,-112
103,-138
104,-189
105,-103
106,-71
107,-91
108,-183
109,-144
110,-104
111,-100
112,-105
113,-100
114,-46
115,-68
116,-95
117,-103
118,-109
119,-100
120,-206
121,-88
122,-143
123,-57
124,-72
125,-110
126,-122
127,-73
128,-89
129,-78
130,-67
131,-49
132,-95
133,-64
134,-74
135,-142
136,-121
137,-121
138,-51
139,-59
140,-111
141,-102
142,-45
143,-36
144,-170
145,-100
146,-68
147,-53
148,-53
149,-100
150,-41
151,-34
152,-100
153,-63
154,-48
155,-153
156,-136
157,-33
158,-193
159,-100
160,-51
161,-35
162,-44
163,-54
164,-76
165,-52
166,-31
167,-103
168,-66
169,-32
170,-40
171,-126
172,-47
173,-54
174,-86
175,-174
176,-57
177,-38
178,-44
179,-178
180,-44
181,-91
182,-31
183,-82
184,-61
185,-77
186,-46
187,-66
188,-75
189,-147
190,-112
191,-93
192,-111
193,-43
194,-100
195,-108
196,-80
197,-50
198,-68
199,-58
